mineral,formula,system
ALSAKHAROVITE-Zn,(Na|Ca)Sr(K|Ba)Zn(Ti|Nb)4(Si4O12)2(O|OH)4.7H2O,M
ALSTONITE,BaCa(CO3)2,A ps O
ALTAITE,PbTe,C
ALTHAUSITE,Mg2(PO4)(OH|F|O),O
ALTHUPITE,ThAl(UO2)7(PO4)4(OH)5.15H2O,A
ALTISITE,Na3K6Ti2Al2Si8O26Cl3,M
ALUM-(K),KAl(SO4)2.12H2O,C
ALUM-(Na),NaAl(SO4)2.12H2O,C
ALUMINITE,Al2(SO4)(OH)4.7H2O,M ps O
ALUMINIUM,Al,C
ALUMINOBARROISITE,(?),[](CaNa)Mg3Al2Si7AlO22(OH)2,(?),M
ALUMINOCELADONITE,KAl(Mg|Fe++)[]Si4O10(OH)2,M
ALUMINOCERITE-(Ce),(Ce|Ca|La|Nd)9(Al|Fe+++)(SiO4)3[SiO3(OH)]4(OH)3,R
ALUMINOCOPIAPITE,(Al|Mg)Fe+++4(SO4)6(OH)2.20H2O,A
ALUMINOCOQUIMBITE,AlFe+++(SO4)3.9H2O,R
ALUMINOFERROBARROISITE,(?),[](CaNa)Fe++3Al2Si7AlO22(OH)2,(?),M
ALUMINOFERROTSCHERMAKITE,(?),[]Ca2(Fe++3Al2)Si6Al2O22(OH)2,(?),M
ALUMINOMAGNESIOHULSITE,(Mg|Fe++)2(Al|Mg|Sn)2(BO3)O2,M
ALUMINOMAGNESIOSADANAGAITE,NaCa2[Mg3(Al|Fe+++)2]Si5Al3O22(OH)2,M
ALUMINOMAGNESIOTARAMITE,Na2Ca(Mg|Fe++)3Al2(AlSi3O11)2(OH)2,M
ALUMINOPYRACMONITE,(NH4)3Al(SO4)3,R
ALUMINOTARAMITE,Na2Ca(Fe++|Mg)3Al2(AlSi3O11)2(OH)2,M
ALUMINOTSCHERMAKITE,(?),[]Ca2(Mg3Al2)Si6Al2O22(OH)2,(?),M
ALUMOAKERMANITE,NaCa(Al|Fe+++)Si2O7,Q
ALUMOHYDROCALCITE,CaAl2(CO3)2(OH)4.3H2O,A
ALUMOKLYUCHEVSKITE,K3Cu3(Al|Fe+++)O2(SO4)4,M
ALUMOTANTITE,AlTaO4,O
ALUNITE,K2Al6(SO4)4(OH)12,R
ALUNOGEN,Al2(SO4)3.17H2O,A
ALVANITE,ZnAl4(VO3)2(OH)12(H2O)2,M
AMAKINITE,(Fe++|Mg)(OH)2,R
AMARANTITE,Fe+++2(SO4)2O.7H2O,A
AMARILLITE,NaFe++(SO4)2.6H2O,M
AMBER,[C|H|O],am.
AMBLYGONITE,(Li|Na)Al(PO4)(F|OH),A
AMBRINOITE,(K|NH4)2(As|Sb)8S13.H2O,A
AMEGHINITE,NaB3O3(OH)4,M
AMESITE,Mg2Al(SiAl)O5(OH)4,A
AMICITE,K4Na4[Al8Si8O32].10H2O,M
AMINOFFITE,Ca2(Be|Al)Si2O7(OH).H2O,Q
AMMINEITE,Cu(NH3)2Cl2,O
AMMONIOALUNITE,(NH4)2Al6(SO4)4(OH)12,R
AMMONIOBORITE,(NH4)2B10O16.5H2O,M
AMMONIOJAROSITE,(NH4)2Fe+++6(SO4)4(OH)12,R
AMMONIOLEUCITE,(NH4)[AlSi2O6],Q
AMMONIOMAGNESIOVOLTAITE,(NH4)2Mg5Fe+++3Al(SO4)12.18H2O,C
AMSTALLITE,CaAl(Si|Al)4O8(OH)4.(H2O|Cl),M
ANALCIME,(-1C|-1Q|-1O|-1M),Na[AlSi2O6].H2O,C,Q,O,M
ANANDITE,(-2O),BaFe++3Fe+++Si3O10S(OH),M
