mineral,formula,system
BENITOITE,BaTiSi3O9,H
BENJAMINITE,(Ag|Cu)3(Bi|Pb)7S12,M
BENLEONARDITE,Ag8(Sb|As)Te2S3,Q
BENSTONITE,(Ba|Sr)6(Ca|Mn)6Mg(CO3)13,R
BENTORITE,Ca6(Cr|Al)2(SO4)3(OH)12.26H2O,H
BENYACARITE,(H2O|K)2(Mn++|Fe++)2(Fe+++|Ti)2Ti(PO4)4(O|F)2.14H2O,O
BERAUNITE,Fe++Fe+++5(PO4)4(OH)5.4H2O,M
BERBORITE,(-1T|-2T|-2H|-3H),Be2(BO3)(OH|F).H2O,H
BERBORITE,(-1T|-2T|-3H),Be2(BO3)(OH|F).H2O,R
BERBORITE,(-1T|-2T|-3H),Be2(BO3)(OH|F).H2O,R
BERDESINSKIITE,V+++2TiO5,M
BEREZANSKITE,KLi3Ti2Si12O30,H
BERGENITE,Ba4Ca2(UO2)6(PO4)6O6.16H2O,M
BERGSLAGITE,CaBe(AsO4)(OH),M
BERLINITE,AlPO4,R
BERMANITE,Mn++Mn+++2(PO4)2(OH)2.4H2O,M
BERNALITE,Fe(OH)3,O ps C
BERNARDITE,Tl(As|Sb)5S8,M
BERNDTITE,(-2T|-4H),SnS2,R/H
BERRYITE,Cu3Ag2Pb3Bi7S16,M
BERTHIERINE,(-1M|-1H),(Fe++|Fe+++|Mg)2-3(Si|Al)2O5(OH)4,M
BERTHIERITE,FeSb2S4,O
BERTOSSAITE,(Li|Na)2CaAl4(PO4)4(OH|F)4,O
BERTRANDITE,Be4Si2O7(OH)2,O
BERYL,Be3Al2Si6O18,H
BERYLLITE,Be3SiO4(OH)2.H2O,O,(?)
BERYLLONITE,NaBePO4,M
BERZELIANITE,Cu2Se,C
BERZELIITE,{Ca2Na}[Mg2](As+++++3)O12,C
BETEKHTINITE,Cu10(Fe|Pb)S6,O
BETPAKDALITE-CaCa,MgCa2Fe+++3(Mo++++++8O28)(AsO4)2(OH).23H2O,M
BETPAKDALITE-NaCa,(Na|Ca)3Fe+++2(As2O4)(MoO4)6.15H2O,M
BETPAKDALITE-NaNa,[Na2(H2O)16Na(H2O)6][Mo8As2Fe+++3O33(OH)4],M
BEUDANTITE,PbFe+++3(AsO4)(SO4)(OH)6,R
BEUSITE,(Mn++|Fe++|Ca|Mg)3(PO4)2,M
BEYERITE,(Ca|Pb)Bi2(CO3)2O2,Q
BEZSMERTNOVITE,Au4Cu(Te|Pb),O
BIACHELLAITE,(Na|Ca|K)8Al6Si6O24(SO4)2(OH)0|5.H2O,R
BIANCHITE,(Zn|Fe++)(SO4).6H2O,M
BICCHULITE,Ca2Al2SiO6(OH)2,C
BIDEAUXITE,Pb++2Ag+Cl3F(OH),C
BIEBERITE,CoSO4.7H2O,M
BIEHLITE,(Sb+++|As+++)2(MoO6),M
BIGCREEKITE,BaSi2O5.4H2O,O
BIJVOETITE-(Y),[(Y|REE)8(H2O)25(UO2)16O8(OH)8(CO3)16](H2O)14,M ps O
BIKITAITE,Li[AlSi2O6].H2O,M/A
BILIBINSKITE,Au3Cu2PbTe2 ps C
BILINITE,Fe++Fe+++2(SO4)4.22H2O,M
BILLIETITE,Ba(UO2)6O4(OH)6.8H2O,O
BILLINGSLEYITE,Ag7AsS6,C
BILLWISEITE,Sb+++5(Nb|Ta)3WO18,M
BINDHEIMITE,=,OXYPLUMBOROMEITE,or,PLUMBOROMEITE,Pb2Sb2O6O,C
BINDHEIMITE,=,OXYPLUMBOROMEITE,or,PLUMBOROMEITE,Pb2Sb2O6O,C
BIPHOSPHAMMITE,(NH4|K)H2PO4,Q
BIRAITE-(Ce),(Fe++|Mg)(Ce|La|Nd)2(CO3)(Si2O7),M
BIRCHITE,CdCu2(SO4)(PO4)2.5H2O,O
BIRINGUCCITE,Na2B5O8(OH).H2O,M
BIRNESSITE,Na4Mn14O27.9H2O,O
BISCHOFITE,MgCl2.6H2O,M
BISMITE,Bi2O3,M
BISMOCLITE,BiOCl,Q
BISMUTH,Bi,R
BISMUTHINITE,Bi2S3,O
BISMUTITE,Bi2(CO3)O2,Q
BISMUTOCOLUMBITE,Bi(Nb|Ta)O4,Q
BISMUTOFERRITE,BiFe+++2(SiO4)2(OH),M
BISMUTOHAUCHECORNITE,Ni9Bi2S8,Q
BISMUTOMICROLITE,=,HYDROXYKENOMICROLITE,or,mixture,(Bi|Ca)(Ta|Nb)2O6(OH),(?),C
BISMUTOPYROCHLORE,=,OXYNATROPYROCHLORE,or,zero-valent-dominant,PYROCHLORE,(Bi|U|Ca|Pb)1+x(Nb|Ta)2O6(OH).nH2O,(?),C
BISMUTOROMEITE
BISMUTOSTIBICONITE,=,BISMUTOROMEITE,Bi(Sb+++++|Fe+++)2O7,(?),C
BISMUTOTANTALITE,Bi(Ta|Nb)O4,O
BITIKLEITE,{Ca3}[Sb+++++Sn++++](Al3)O12,C
BITYITE,CaLiAl2BeAlSi2O10(OH)2,M
BIXBYITE,(Mn+++|Fe+++)2O3,C
BJAREBYITE,(Ba|Sr)(Mn++|Fe++|Mg)2Al2(PO4)3(OH)3,M
BLAKEITE,(?),Fe+++2(TeO3)3,(?)
BLATONITE,(UO2)(CO3).H2O,H/R,(?)
BLATTERITE,Sb+++++3(Mn+++|Fe+++)9(Mn++|Mg)35(BO3)16O32,O
BLEASDALEITE,(Ca|Fe+++)2Cu5(Bi+++|Cu++)(PO4)4(H2O|OH|Cl)13,M ps Q
BLIXITE,Pb2Cl(O|OH)2,M
BLODITE,Na2Mg(SO4)2.4H2O,M
BLOSSITE,Cu2V+++++2O7,O
BLUELIZARDITE,Na7(UO2)(SO4)4Cl(H2O)2,M
BOBDOWNSITE,Ca9Mg(PO4)6(PO3F)
BOBFERGUSONITE,Na2Mn++5Fe+++Al(PO4)6,M
BOBIERRITE,Mg3(PO4)2.8H2O,M
BOBJONESITE,V++++O(SO4).3H2O,M
BOBJONESITE,V++++O(SO4).3H2O,M
BOBKINGITE,Cu++5Cl2(OH)8.2H2O,M
BOBMEYERITE,Pb4(Al3Cu)(Si4O12)(S0|5Si0|5O4)(OH)7Cl(H2O)3,O
BOBTRAILLITE,(Na|Ca)13Sr11(Zr|Y|Nb)14Si42B6O132(OH)12.12H2O,R
BOGDANOVITE,(Au|Te|Pb)3(Cu|Fe),C
BOGGILDITE,Sr2Na2Al2(PO4)F9,M
BOGGSITE,Ca8Na3[Al19Si77O192].70H2O,O
BOGVADITE,Na2SrBa2Al4F20,O
BOHDANOWICZITE,AgBiSe2,H
BOHMITE,AlO(OH),O
BOHSEITE,Ca4Be3AlSi9O25(OH)3,O
BOKITE,(Al|Fe+++)1|3(V+++++|V++++|Fe+++)8O20.7|4H2O,M
BOLEITE,KPb26Ag9Cu24Cl62(OH)48,C
BOLTWOODITE,(K|Na)(UO2)SiO3(OH).1|5H2O,M
BONACCORDITE,Ni2Fe+++BO5,O
BONATTITE,CuSO4.3H2O,M
BONSHTEDTITE,Na3Fe++(PO4)(CO3),M ps O
BOOTHITE,CuSO4.7H2O,M
BORACITE,Mg3B7O13Cl,O ps C
BORALSILITE,Al16(BO4)6(SiO4)2O5,M
BORAX,Na2B4O5(OH)4.8H2O,M
BORCARITE,Ca4MgB4O6(OH)6(CO3)2,M
BORISHANSKIITE,Pd1+x(As|Pb)2,(x=0-0|2),O
BORNEMANITE,(Na|Ba)4(Na|Ti|Mn++)4(Ti|Nb)2(PO4)(Si2O7)2O2(OH|F|O)2,M
BORNHARDTITE,Co++Co+++2Se4,C
BORNITE,Cu5FeS4,O ps C
BOROCOOKEITE,Li1+3xAl4-x(B|Al)Si3O10(OH|F)8,M
BORODAEVITE,Ag5(Bi|Sb)9S16,M
BOROMULLITE,Al8BO4AlO4(SiO4)2O3,O
BOROMUSCOVITE,KAl2[]BSi3O10(OH)2,M
BOROVSKITE,Pd3SbTe4,C
BORTNIKOVITE,Pd3Cu3Zn,Q
BOSCARDINITE,(Tl|Ag)Pb4Sb7As2S18,A
BOSTWICKITE,CaMn+++6Si3O16.7H2O,O
BOTALLACKITE,Cu2Cl(OH)3,M
BOTRYOGEN,MgFe+++(SO4)2(OH).7H2O,M
BOTTINOITE,NiSb+++++2(OH)12.6H2O,H
BOUAZZERITE,Mg5|5Bi3Fe+++7(AsO4)9O6(OH)2.43H2O,M
BOULANGERITE,Pb5Sb4S11,M
BOURNONITE,PbCuSbS3,O
BOUSSINGAULTITE,(NH4)2Mg(SO4)2.6H2O,M
BOWIEITE,(Rh|Ir|Pt)1|77S3,O
BOYLEITE,(Zn|Mg)SO4.4H2O,M
BRACCOITE,NaMn++5[Si5O14(OH)](AsO3)(OH),A
BRACEWELLITE,Cr+++O(OH),O
BRACKEBUSCHITE,Pb2(Mn+++|Fe+++)(VO4)2(OH),M
BRADACZEKITE,NaCu4(AsO4)3,M
BRADLEYITE,Na3Mg(PO4)(CO3),M
BRAGGITE,(Pt|Pd|Ni)S,Q
BRAITHWAITEITE,NaCu++5(Sb+++++Ti4++++)O2(AsO4)4(AsO3OH)2(H2O)8,A
BRAITSCHITE-(Ce),(Ca|Na)7(Ce|La|Nd)2[B6O7(OH)3(O|OH)3]4.(H2O),H
BRAMMALLITE,Na0|65Al2[]Al0|65Si3|35O10(OH)2,M
BRANDHOLZITE,MgSb+++++2(OH)12.6H2O,R
BRANDTITE,Ca2(Mn++|Mg)(AsO4)2.2H2O,M
BRANNERITE,(U|Ca|Y|Ce)(Ti|Fe)2O6,M
BRANNOCKITE,(K|Na)Li3Sn2Si12O30,H
BRASS,(?),Cu3Zn2,C,(?)
BRASSITE,MgHAsO4.4H2O,O
BRAUNITE,Mn++Mn+++6SiO12,Q
BRAUNITE,II,(?),Ca(Mn+++|Fe+++)14SiO24,Q
BRAZILIANITE,NaAl3(PO4)2(OH)4,M
BREDIGITE,Ca7Mg(SiO4)4,O ps H
BREITHAUPTITE,NiSb,H
BRENDELITE,(Bi+++|Pb++)2(Fe+++|Fe++)O2(OH)(PO4),M
BRENKITE,Ca2(CO3)F2,O
BREWSTERITE-Ba,(Ba|Sr)2[Al4Si12O32].10H2O,M
BREWSTERITE-Sr,(Sr|Ba)2[Al4Si12O32].10H2O,M/A
BREZINAITE,Cr3S4,M
BRIANITE,Na2CaMg(PO4)2,M
BRIANROULSTONITE,Ca3B5O6(OH)Cl2.8H2O,M
BRIANYOUNGITE,Zn3(CO3|SO4)(OH)4,M ps O
BRIARTITE,Cu2(Zn|Fe)GeS4,Q
BRINDLEYITE,(Ni|Mg|Fe++)2Al(SiAl)O5(OH)4,M
BRINROBERTSITE,Na0|3Al4(Si4O10)2(OH)4.3|5H2O,M ps H
BRITHOLITE-(Ce),(Ce|Ca)5(SiO4|PO4)3(OH|F),H
BRITHOLITE-(Y),(Y|Ca)5(SiO4|PO4)3(OH|F),H
BRITVINITE,Pb8Mg9[Si10O30(OH)8(CO3)3].H2O,A
BRIZZIITE,NaSb+++++O3,R
BROCHANTITE,Cu4(SO4)(OH)6,M
BROCKITE,(Ca|Th|Ce)(PO4).H2O,H
BRODTKORBITE,Cu2HgSe2,M
BROKENHILLITE,(Mn++|Fe++)8(Si6O15)(OH|Cl)10,H
BROMARGYRITE,AgBr,C
BROMELLITE,BeO,H
BRONTESITE,(NH4)3PbCl5,O
BROOKITE,TiO2,O
BROWNEITE,MnS,C
BROWNLEEITE,MnSi,C
BROWNMILLERITE,Ca2(Al|Fe+++)2O5,O
BRUCITE,Mg(OH)2,R
BRUGGENITE,Ca(IO3)2.H2O,M
BRUGNATELLITE,Mg6Fe+++(CO3)(OH)13.4H2O,H
BRUMADOITE,Cu3Te++++++O4(OH)4.5H2O,M
BRUNOGEIERITE,Fe++2Ge++++O4,C
BRUSHITE,CaHPO4.2H2O,M
BUCHWALDITE,NaCaPO4,O
BUCKHORNITE,AuTe2Pb2BiS3,O
BUDDINGTONITE,(NH4)AlSi3O8.0|5H2O,M
BUKOVITE,Tl2Cu3FeSe4,Q
BUKOVSKYITE,Fe+++2(AsO4)(SO4)(OH).7H2O,M
BULACHITE,Al2(AsO4)(OH)3.3H2O,O
BULTFONTEINITE,Ca2SiO2(OH|F)4,A
BUNSENITE,NiO,C
BURANGAITE,(Na|Ca)2(Fe++|Mg)2Al10(PO4)8(OH|O)12.4H2O,M
BURBANKITE,(Na|Ca)3(Sr|Ba|Ce)3(CO3)5,H
BURCKHARDTITE,Pb2(Fe+++|Mn+++)Te++++(AlSi3)O12(OH)2.H2O,M ps H
BURGESSITE,Co2(H2O)4[AsO3(OH)]2(H2O),M
BURKEITE,Na6(CO3)(SO4)2,O
BURNSITE,KCdCu++7O2(SeO3)2Cl9,H
BUROVAITE-Ca,(K|Na)4Ca2(Ti|Nb)8[Si4O12]4(OH|O)8.12H2O,M
BURPALITE,Na8Ca4Zr4(Si2O7)4F8,M
BURTITE,CaSn(OH)6,C
BURYATITE,Ca3(Si|Fe+++|Al)(SO4)[B(OH)4](O|OH)5O.12H2O,R ps H
BUSECKITE,(Fe|Zn|Mn)S,H
BUSHMAKINITE,Pb2(Al|Cu++)PO4(V+++++|Cr++++++)O4(OH),M
BUSSENITE,Na2(Ba|Sr)2(Fe++|Mn++)TiSi2O7(CO3)(OH)3F,A
BUSSYITE-(Ce),(Ce|REE|Ca)3(Na|H2O)6MnSi9Be5(O|OH)30(F|OH)4,M
BUSTAMITE,(Mn|Ca)3Si3O9,R
BUTLERITE,Fe+++(SO4)(OH).2H2O,M
BUTSCHLIITE,K2Ca(CO3)2,R
BUTTGENBACHITE,Cu19Cl4(NO3)2(OH)32.2H2O,H
BYELORUSSITE-(Ce),NaMn++Ba2(Ce|La)2Ti2Si8O26(F|OH).H2O,O
BYKOVAITE,(Ba|Na|K)2{(Na|Ti|Mn)4[(Ti|Nb)2O2Si4O14](H2O|F|OH)2}.3|5H2O,M
BYSTRITE,Ca(Na|K)7Si6Al6O24(S--)1|5.H2O,R
BYSTROMITE,MgSb+++++2O6,Q
BYTOWNITE,(?),(Ca|Na)(Si|Al)4O8,A
CABALZARITE,Ca(Mg|Al|Fe+++)2(AsO4)2(H2O|OH)2,M
CABRIITE,Pd2SnCu,O
CACOXENITE,(Fe+++|Al)25(PO4)17O6(OH)12.75H2O,H
CADMIUM,Cd,H
CADMOINDITE,CdIn2S4,C
CADMOSELITE,CdSe,H
CADWALADERITE,Al(OH)2Cl.4H2O,am.
CAESIUMPHARMACOSIDERITE,CsFe4[(AsO4)3(OH)4].4H2O,C
CAFARSITE,Ca8(Ti|Fe++|Fe+++|Mn)6-7(As+++O3)12.4H2O,C
CAFETITE,CaTi2O5.H2O,O
CAHNITE,Ca2B(AsO4)(OH)4,Q
CALAVERITE,AuTe2,M
CALCIBORITE,CaB2O4,O
CALCINAKSITE,KNaCa(Si4O10).H2O,A
CALCIOANCYLITE-(Ce),(Ca|Sr)(Ce|REE)(CO3)2(OH).H2O,O
CALCIOANCYLITE-(Nd),Ca(Nd|Ce|Gd|Y)3(CO3)4(OH)3.H2O,O
CALCIOANDYROBERTSITE,KCaCu5(AsO4)4[As(OH)2O2].2(H2O),M
CALCIOARAVAIPAITE,PbCa2AlF6(F|OH)3,A
CALCIOBURBANKITE,Na3(Ca|Ce|La|Sr)3(CO3)5,H
CALCIOCATAPLEIITE,CaZrSi3O9.2H2O,H
CALCIOCOPIAPITE,CaFe+++4(SO4)6(OH)2.19H2O,A
CALCIODELRIOITE,Ca(VO3)2(H2O)4,M
CALCIOFERRITE,Ca4Fe++(Fe+++|Al)4(PO4)6(OH)4.13H2O,M
CALCIOHILAIRITE,CaZrSi3O9.3H2O,R
CALCIOLANGBEINITE,K2Ca2(SO4)3,C
CALCIOOLIVINE,(CALCIO-OLIVINE),Ca2SiO4,O
CALCIOPETERSITE,CaCu6[(PO4)2(PO3OH)](OH)6.3H2O,H
CALCIOSAMARSKITE,(Ca|Fe+++|U|Y)NbO4,M
CALCIOTANTITE,CaTa4O11,H
CALCIOURANOITE,(Ca|Ba|Pb)U2O7.5H2O,am.
CALCITE,CaCO3,R
CALCJARLITE,Na(Ca|Sr)3Al3(F|OH)16,M
CALCLACITE,(?),CaCl2.Ca(C2H3O2)2.10H2O,M/A
CALCURMOLITE,(Ca|Na)2(UO2)3(MoO4)2(O|OH)3.10-15H2O,M
CALCYBEBOROSILITE-(Y),(?),(Y|Ca)2(B|Be)2Si2O8(OH)2,(?),M
CALDERITE,{Mn++3}[Fe+++2](Si3)O12,C
CALDERONITE,Pb2Fe+++(VO4)2(OH),M
CALEDONITE,Pb5Cu2(CO3)(SO4)3(OH)6,O
CALKINSITE-(Ce),(Ce|La)2(CO3)3.4H2O,O
CALLAGHANITE,Cu2Mg2(CO3)(OH)6.2H2O,M
CALOMEL,Hg2Cl2,Q
CALUMETITE,Cu(OH|Cl)2.2H2O,O
CALVERTITE,Cu5Ge0|5S4,C
CALZIRTITE,CaZr3TiO9,Q
CAMARAITE,Ba3NaTi4(Fe++|Mn)8(Si2O7)4O4(OH|F)7,A
CAMEROLAITE,Cu++4Al2[HSb+++++O4|SO4]OH10(CO3).2H2O,M
CAMERONITE,Cu5-x(Cu|Ag)3+xTe10,(x,=,0|43),Q
CAMGASITE,CaMg(AsO4)(OH).5H2O,M
CAMINITE,Mg7(SO4)5(OH)4.H2O,Q
CAMPIGLIAITE,Cu++4Mn++(SO4)2(OH)6.4H2O,M
CANAPHITE,CaNa2P2O7.4H2O,M
CANASITE,K3Na3Ca5Si12O30(OH|F)4,M
CANAVESITE,Mg2(CO3)(HBO3).5H2O,M
CANCRINITE,Na6Ca2Al6Si6O24(CO3)2,H
CANCRISILITE,Na7Al5Si7O24(CO3).3H2O,H
CANFIELDITE,Ag8SnS6,O ps C
CANNILLOITE,(?),CaCa2(Mg4Al)Si5Al3O22(OH)2,(?),M
CANNIZZARITE,Pb4Bi5S11,M
CANNONITE,Bi2O(OH)2SO4,M
CANUTITE,NaMn++3[AsO4]2[AsO2(OH)2],M
CAOXITE,Ca(C2O4).3H2O,A
CAPGARONNITE,HgSAg(Cl|Br|I),O
CAPPELENITE-(Y),Ba(Y|Ce)6Si3B6O24F2,R
CAPRANICAITE,(K|[])(Ca|Na)Al4B4Si2O18,M
CARACOLITE,Na2(Pb2Na)(SO4)3Cl,M ps H
CARBOBORITE,Ca2Mg(CO3)2B2(OH)8.4H2O,M
CARBOBYSTRITE,Na8[Al6Si6O24](CO3).4H2O,R
CARBOCERNAITE,(Ca|Na)(Sr|Ce|Ba)(CO3)2,O
CARBOIRITE,Fe++Al2GeO5(OH)2,A
CARBOKENTBROOKSITE,(Na|[])12(Na|Ce)3Ca6Mn3Zr3Nb(Si25O73)(OH)3(CO3).H2O,R
CARBONATECYANOTRICHITE,Cu++4Al2(CO3|SO4)(OH)12.2H2O,O
CARDUCCIITE,(Ag2Sb2)Pb12(As|Sb)16S40,M
CARESITE,(-3T),(Fe++|Mg)4Al2(OH)12(CO3).3H2O,R
CARLETONITE,KNa4Ca4Si8O18(CO3)4(OH|F).H2O,Q
CARLFRANCISITE,Mn++3(Mn++|Mg|Fe+++|Al)42[As+++O3]2(As+++++O4)4[(Si|As+++++)O4]6[(As+++++|Si)O4]2(OH)42,R
CARLFRIESITE,CaTe++++2Te++++++O8,M
CARLGIESECKEITE-(Nd),NaNdCa3(PO4)3F,R ps H
CARLHINTZEITE,Ca2AlF7.H2O,A ps M
CARLINITE,Tl2S,R
CARLOSBARBOSAITE,(UO2)2Nb2O6(OH)2.2H2O,O
CARLOSRUIZITE,K6(Na|K)4Na6Mg10(Se++++++O4)12(IO3)12.12H2O,R
CARLOSTURANITE,(Mg|Fe++|Ti)21(Si|Al)12O28(OH)34.H2O,M
CARLSBERGITE,CrN,C
CARMINITE,PbFe+++2(AsO4)2(OH)2,O
CARNALLITE,KMgCl3.6H2O,O
CARNOTITE,K2(UO2)2V2O8.3H2O,M
CAROBBIITE,KF,C
CARPHOLITE,MnAl2Si2O6(OH)4,O
CARRARAITE,Ca3Ge++++(OH)6(SO4)(CO3).12H2O,H
CARRBOYDITE,(Ni|Cu)14Al9(SO4|CO3)6(OH)43.7H2O,(?),H
CARROLLITE,Cu(Co|Ni)2S4,C
CARYINITE,Na(Ca|Pb)(Ca|Mn)(Mn|Mg)2(AsO4)3,M
CARYOCHROITE,(Na|Sr|Ca|Mn|K)3(Fe+++|Mg|Mn|Fe++)10Ti2Si12O37(H2O|O|OH)17,M
CARYOPILITE,(1M|-1Q),(Mn++|Mg)3Si2O5(OH)4,M
CASCANDITE,Ca(Sc|Fe++)Si3O8(OH),A
CASSAGNAITE,(Ca|Mn++)4(Fe+++|Mn+++|Al)4(V+++|Mg|Al)2(SiO4)2(Si3O10)(OH|O)8,O
CASSEDANNEITE,Pb5(VO4)2(CrO4)2.H2O,M
CASSIDYITE,Ca2(Ni|Mg)(PO4)2.2H2O,A
CASSITERITE,SnO2,Q
CASTAINGITE,(?),CuMo2S5,H
CASWELLSILVERITE,NaCrS2,R
CATALANOITE,Na2PO3(OH).8H2O,O
CATAMARCAITE,Cu6GeWS8,H
CATAPLEIITE,Na2ZrSi3O9.2H2O,H
CATTIERITE,CoS2,C
CATTIITE,Mg3(PO4)2.22H2O,A
CAVANSITE,Ca(VO)Si4O10.4H2O,O
CAVOITE,CaV++++3O7,O
CAYSICHITE-(Y),Y4(Ca3REE)(OH)(H2O)5(Si8O20)(CO3)6.2H2O,O
CEBAITE-(Ce),Ba3Ce2(CO3)5F2,M
CEBAITE-(Nd),(?),Ba3(Nd|Ce)2(CO3)5F2,M
CEBOLLITE,Ca2(Mg|Fe++|Al)Si2(O|OH)7,O
CECHITE,Pb(Fe++|Mn)(VO4)(OH),O
CEJKAITE,Na4(UO2)(CO3)3,A
CELADONITE,KFe+++(Mg|Fe++)[]Si4O10(OH)2,M
CELESTINE,SrSO4,O
CELSIAN,BaAl2Si2O8,M
CERCHIARAITE-(Al),Ba4(Al|Fe+++)4O3(OH)3(Si4O12)[Si2O3(OH)4]Cl,Q
CERCHIARAITE-(Fe),Ba4(Fe+++|Al)4O3(OH)3(Si4O12)[Si2O3(OH)4]Cl,Q
CERCHIARAITE-(Mn),Ba4(Mn+++|Fe+++|Al)4(Si6O18)(OH)7Cl,Q
CERIANITE-(Ce),(Ce++++|Th)O2,C
CERIOPYROCHLORE-(Ce),=,FLUORKENOPYROCHLORE,or,Ca-/zero-valent-dominant,PYROCHLORE,(Ce|Ca|Y)2(Nb|Ta)2O6(OH|F),(?),C
CERITE-(Ce),Ce+++9Fe+++(SiO4)6[(SiO3)(OH)](OH)3,R
CERITE-(La),(La|Ce|Ca)9(Fe|Ca|Mg)(SiO4)3[(SiO3)(OH)]4(OH)3,R ps H
CERNYITE,Cu2CdSnS4,Q
CEROTUNGSTITE-(Ce),CeW2O6(OH)3,M
CERULEITE,Cu2Al7(AsO4)4(OH)13.12H2O,A
CERUSSITE,PbCO3,O
CERVANDONITE-(Ce),(Ce|Nd|La)(Fe+++|Fe++|Ti++++|Al)3O2(Si2O7)1-x+y(AsO3)1+x-y(OH)3x-3y,(x=0|47,y=0|31),M
CERVANTITE,Sb+++Sb+++++O4,O
CERVELLEITE,Ag4TeS,C
CESANITE,Na3Ca2(SO4)3(OH),H
CESARFERREIRAITE,Fe++Fe+++2(AsO4)2(OH)2.8H2O,A
CESAROLITE,PbH2Mn++++3O8,(?)
CESBRONITE,Cu5(TeO3)2(OH)6.2H2O,O
CESPLUMTANTITE,(Cs|Na)2(Pb|Sb+++)3Ta8O24,Q
CESSTIBTANTITE,=,HYDROXYKENOMICROLITE,or,zero-valent-dominant,MICROLITE,(Cs|Na)Sb+++Ta4O12,C
CETINEITE,(K|Na)3-3|5(Sb2O3)(SbS3)(OH)x.2|5-3H2O,(x,=,less,than,0|5),H
CHABAZITE-Ca,(Ca0|5|K|Na)4[Al4Si8O24].12H2O,R ps H/A
CHABAZITE-K,(K|Na|Ca0|5)4[Al4Si8O24].12H2O,R
CHABAZITE-Mg,(Mg0|7K0|5Ca0|5Na0|1)[Al3Si9O24].10H2O,R
CHABAZITE-Na,(Na|K|Ca0|5)4[Al4Si8O24].12H2O,R
CHABAZITE-Sr,(Sr|Ca)[Al2Si4O12].6H2O,R
CHABOURNEITE,(Tl|Pb)23(Sb|As)91S147,A
CHADWICKITE,H(UO2)(As+++O3),Q,(?)
CHAIDAMUNITE,CuFe(SO4)2(OH).4H2O,A ps M
CHALCANTHITE,Cu++SO4.5H2O,A
CHALCOALUMITE,CuAl4(SO4)(OH)12(H2O)3,M
CHALCOCITE,Cu2S,M
CHALCOCYANITE,CuSO4,O
CHALCOMENITE,CuSeO3.2H2O,O
CHALCONATRONITE,Na2Cu(CO3)2.3H2O,M
CHALCOPHANITE,(Zn|Fe++|Mn++)Mn++++3O7.3H2O,R
CHALCOPHYLLITE,Cu++18Al2(AsO4)3(SO4)3(OH)27.33H2O,R
CHALCOPYRITE,CuFeS2,Q
CHALCOSIDERITE,Cu++(Fe+++|Al)6(PO4)4(OH)8.4H2O,A
CHALCOSTIBITE,CuSbS2,O
CHALCOTHALLITE,(Tl|K)2Cu5|5(Fe|Ag)SbS4,O ps Q
CHALLACOLLOITE,KPb2Cl5,M
CHAMBERSITE,Mn3B7O13Cl,O
CHAMEANITE,(Cu|Fe)4As(Se|S)4,C
CHAMOSITE,(Fe++|Mg|Fe+++)5Al(Si3Al)O10(OH|O)8,M
CHANGBAIITE,PbNb2O6,R
CHANGCHENGITE,IrBiS,C
CHANGOITE,Na2Zn(SO4)2.4H2O,M
CHANTALITE,CaAl2SiO4(OH)4,Q
CHAOITE,C,H
CHAPMANITE,Sb+++Fe+++2(SiO4)2(OH),M
CHARLESITE,Ca6(Al|Si)2(SO4)2B(OH)4(OH|O)12.26H2O,H
CHARMARITE,(-2H|-3T),Mn++4Al2(OH)12(CO3).3H2O,H/R
CHAROITE,(K|Sr|Ba|Mn)15-16(Ca|Na)32[(Si70(O|OH)180)](OH|F)4.nH2O,M
CHATKALITE,Cu6Fe++Sn2S8,Q
CHAYESITE,K(Mg|Fe++)4Fe+++Si12O30,H
CHEGEMITE,Ca7(SiO4)3(OH)2,O
CHEKHOVICHITE,(Bi|Pb|Fe)2Te4O11,M
CHELKARITE,CaMgB2O4Cl2.7H2O,(?),O
CHELYABINSKITE,(Ca|Mg)3Si(OH)6(SO4|CO3)2.9H2O,O
CHENEVIXITE,Cu2Fe+++2(AsO4)2(OH)4,M
CHENGDEITE,Ir3Fe,C
CHENGUODAITE,Ag9FeTe2S4,O
CHENITE,Pb4Cu(SO4)2(OH)6,A
CHERALITE,CaTh(PO4)2,M
CHEREMNYKHITE,Zn3Pb3Te++++O6(VO4|AsO4)2,O
CHEREPANOVITE,RhAs,O
CHERNIKOVITE,(H3O)2(UO2)2(PO4)2.6H2O,Q
CHERNOVITE-(Ce),(?),(Ce|Y)(AsO4),Q
CHERNOVITE-(Y),YAsO4,Q
CHERNYKHITE,BaV2[]Al2Si2O10(OH)2,M
CHERVETITE,Pb2V2O7,M
CHESNOKOVITE,Na2SiO2(OH)2.8H2O,O
CHESSEXITE,Na4Ca2(Mg|Zn)3Al8(SiO4)2(SO4)10(OH)10.40H2O,O
CHESTERITE,(Mg|Fe++)17Si20O54(OH)6,O
CHESTERMANITE,Sb+++++(Mn+++|Fe+++)5[(Mn++|Mg)xFe+++y](BO3)8O16,(sum,x|y=18),O
CHEVKINITE-(Ce),(Ca|Ce|La)4(Fe++|Mg)2(Ti|Fe+++)3O8(Si2O7)2,M
CHIAVENNITE,CaMn[Be2Si5O13(OH)2].2H2O,O
CHILDRENITE,Fe++Al(PO4)(OH)2.H2O,M
CHILUITE,Bi6Te++++++2Mo++++++2O21,H
CHIOLITE,Na5Al3F14,Q
CHISTYAKOVAITE,Al(UO2)2(AsO4)2(F|OH).6|5H2O,M
